,0
wind_speed,5.856755352917412
wind_direction,179.11727361920703
visibility,3206.2257170889366
cloud_height,35.88679517516015
temprature,28.578749927858254
dew_point,21.947884804063023
pressure,1008.2220234316385
week_of_year,26.492526115311364
day_cos,0.0005063288955165224
day_sin,0.00010754032697784426
month_cos,-0.012370125732907307
month_sin,-0.012370125732907307
cloud_BKN,0.007675881572112887
cloud_FEW,0.34916604143821783
cloud_NSC,0.326628960581751
cloud_SCT,0.31652911640791825
weather_BR,0.016794598026201882
weather_DZ,0.017891152536503724
weather_FG,0.00011542679055808853
weather_FU,0.2962140012696947
weather_HZ,0.5856755352917412
weather_NSW,0.0002597102787556992
weather_PO,0.013245224216540659
weather_RA,0.06980435159000405
