,0
wind_speed,4.219926416482708
wind_direction,147.6143340691685
visibility,2668.031493745401
cloud_height,53.75855776306108
temprature,24.980309050772625
dew_point,16.184164827078735
pressure,1008.8749374540103
week_of_year,26.65839587932303
day_cos,-0.0009088325598132459
day_sin,-0.0013855819538131713
month_cos,-0.010707117001870324
month_sin,-0.010707117001870324
cloud_BKN,0.021368653421633556
cloud_FEW,0.2893009565857248
cloud_NSC,0.38136865342163356
cloud_SCT,0.3079617365710081
weather_BR,0.2965121412803532
weather_DZ,0.0038263428991905813
weather_FG,0.05995584988962473
weather_FU,0.09736571008094187
weather_HZ,0.5151140544518028
weather_PO,0.00753495217071376
weather_RA,0.019690949227373068
weather_NSW,0.0
