,0
wind_speed,5.648230353929214
wind_direction,157.04229154169167
visibility,5162.060107978405
cloud_height,20.335452909418116
temprature,28.905968806238754
dew_point,23.357408518296342
pressure,1008.4000599880025
week_of_year,27.035602879424115
day_cos,-4.915491977265105e-05
day_sin,0.0011825133151351012
month_cos,0.018670858501816257
month_sin,0.018670858501816257
cloud_BKN,0.0015596880623875225
cloud_FEW,0.41190761847630475
cloud_NSC,0.027414517096580684
cloud_SCT,0.559118176364727
weather_BR,0.4574385122975405
weather_DZ,0.05596880623875225
weather_FG,0.004019196160767846
weather_FU,0.0003899220155968806
weather_HZ,0.36250749850029995
weather_NSW,0.004709058188362328
weather_PO,0.07882423515296941
weather_RA,0.03614277144571086
