,wind_speed,wind_direction,visibility,cloud_height,temprature,dew_point,pressure,week_of_year,day_cos,day_sin,month_cos,month_sin,cloud_BKN,cloud_FEW,cloud_NSC,cloud_SCT,weather_BR,weather_DZ,weather_FG,weather_FU,weather_HZ,weather_NSW,weather_PO,weather_RA
36,2,170,6000,20,27,24,1008,11,-1.8369701987210294e-16,-1.0,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,0,0,0,0,1,0,0,0
37,2,170,6000,20,27,24,1008,11,0.2588190451025203,-0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
38,2,170,5000,20,26,24,1007,11,0.2588190451025203,-0.9659258262890684,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
39,2,170,5000,20,26,23,1007,11,0.4999999999999993,-0.866025403784439,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
40,2,170,4000,20,26,24,1007,11,0.4999999999999993,-0.866025403784439,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
41,4,270,4000,20,26,23,1006,11,0.7071067811865474,-0.7071067811865477,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
42,2,270,3000,20,26,23,1006,11,0.7071067811865474,-0.7071067811865477,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
43,2,270,3000,20,25,23,1006,11,0.8660254037844384,-0.5000000000000004,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
44,2,270,3000,20,25,23,1006,11,0.8660254037844384,-0.5000000000000004,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
45,2,270,3000,20,25,23,1006,11,0.965925826289068,-0.2588190451025215,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
46,2,270,3000,20,25,23,1006,11,0.965925826289068,-0.2588190451025215,6.123233995736766e-17,6.123233995736766e-17,0,1,0,0,1,0,0,0,0,0,0,0
