,0
week_of_year,15.198224198491703
wind_speed,3.4147643307923627
wind_direction,110.72337394222822
visibility,1584.0434205648598
cloud_height,1.5572908075541436
temprature,3.2574092112192052
dew_point,2.1673243535705713
pressure,4.008437021467632
day_cos,0.7069402840666877
day_sin,0.7072934234693865
month_cos,0.7089940285877804
month_sin,0.7041325411398555
cloud_BKN,0.039465031613270175
cloud_FEW,0.4962447723264563
cloud_SCT,0.4964347424840946
weather_BR,0.49903886955898313
weather_DZ,0.11752891111936868
weather_FG,0.05468867503774009
weather_FU,0.02120790011876074
weather_HZ,0.4924290654501108
weather_RA,0.14839588484149993
weather_TS,0.12403609714320624
