,0
wind_speed,3.209556238102021
wind_direction,121.2161203926187
visibility,1154.7653505555334
cloud_height,24.715265824763456
temprature,7.8831831166698345
dew_point,7.254055326186662
pressure,6.64550675490519
week_of_year,14.947861095182194
day_cos,0.7068946981730487
day_sin,0.7073376662339338
month_cos,0.7051393851859177
month_sin,0.7051393851859177
cloud_BKN,0.14461206589736952
cloud_FEW,0.4534445555577233
cloud_NSC,0.4857299125410388
cloud_SCT,0.4616574254248694
weather_BR,0.45672621024851645
weather_DZ,0.06173989143079743
weather_FG,0.23740851901945137
weather_FU,0.2964594667589211
weather_HZ,0.49977886830330986
weather_PO,0.08647772419065132
weather_RA,0.13893805786041957
weather_NSW,1.0
