,0
week_of_year,27.035097192224622
wind_speed,5.647918166546677
wind_direction,180.81143508519318
visibility,5161.857571394288
cloud_height,19.512808975281978
temprature,28.90595752339813
dew_point,23.357421406287497
pressure,1008.4002579793616
day_cos,-6.518176142701359e-05
day_sin,0.00120086993896347
month_cos,0.018703096425802535
month_sin,-0.03471279271125058
cloud_BKN,0.0015598752099832012
cloud_FEW,0.43877489800815933
cloud_SCT,0.5596652267818575
weather_BR,0.5311075113990881
weather_DZ,0.014008879289656828
weather_FG,0.002999760019198464
weather_FU,0.00044996400287976963
weather_HZ,0.4132769378449724
weather_RA,0.022528197744180467
weather_TS,0.015628749700023998
