,0
wind_speed,3.4144708819651926
wind_direction,102.03232531824908
visibility,1583.7717762511704
cloud_height,5.216188586875511
temprature,3.2572415830520582
dew_point,2.167227522459688
pressure,4.008270042987985
week_of_year,15.197754340236479
day_cos,0.70696540202786
day_sin,0.7072683468389718
month_cos,0.7089734691425948
month_sin,0.7089734691425948
cloud_BKN,0.03946266774127139
cloud_FEW,0.4921859387205618
cloud_NSC,0.16329041950409845
cloud_SCT,0.49650018642250643
weather_BR,0.49819269781340625
weather_DZ,0.2298649250897382
weather_FG,0.06327054839215289
weather_FU,0.019742889037079582
weather_HZ,0.4807314673779194
weather_NSW,0.0684618400419583
weather_PO,0.26946827840122284
weather_RA,0.18664810857451433
