,0
wind_speed,3.633971969430013
wind_direction,115.2071575824486
visibility,1046.5016197872144
cloud_height,25.28652241147455
temprature,2.769039240928922
dew_point,4.9231003300961795
pressure,4.019811239025755
week_of_year,14.942510059607608
day_cos,0.7071168025076807
day_sin,0.7071169756129377
month_cos,0.7049854671067698
month_sin,0.7049854671067698
cloud_BKN,0.0872764700301748
cloud_FEW,0.47671340949555524
cloud_NSC,0.4689870250741597
cloud_SCT,0.46512866807679776
weather_BR,0.1285029805664072
weather_DZ,0.1325577845876799
weather_FG,0.010743221014283636
weather_FU,0.4565931259747602
weather_HZ,0.4926121245079268
weather_NSW,0.01611366879322152
weather_PO,0.11432482413634261
weather_RA,0.2548206778456686
